MINYAK (mPa.s),JUMLAH MINYAK (g),SURFAKTAN (HLB),JUMLAH SURFAKTAN (g),FASA AIR (V),JUMLAH FASA AIR (g),Ko-Surfaktan (Rasio),FASA
10.0,8.05,13.4,1.875,0.0,0.7,1.0,1
10.0,8.05,13.4,1.875,0.0,0.7,1.0,2
10.0,8.05,13.4,1.875,0.0,0.7,1.0,2
10.0,8.05,13.4,1.875,0.0,0.7,1.0,2
10.0,8.05,6.5,1.875,0.0,0.7,1.0,1
70.5,8.05,6.5,1.875,0.0,0.7,1.0,2
45.0,8.05,6.5,1.875,0.0,0.7,1.0,2
15.0,8.05,6.5,1.875,0.0,0.7,1.0,2
3.7,8.05,6.5,1.875,0.0,0.7,1.0,2
247.0,8.05,6.5,1.875,0.0,0.7,1.0,2
3.7,8.05,13.3,1.875,0.0,0.7,1.0,2
45.0,8.05,13.3,1.875,0.0,0.7,1.0,3
45.0,8.05,13.3,1.875,-0.44,0.7,1.0,2
15.0,8.05,13.3,1.875,-0.44,0.7,1.0,2
3.7,8.05,13.3,1.875,-0.44,0.7,1.0,2
70.5,8.05,13.3,1.875,-0.44,0.7,1.0,2
247.0,8.05,13.3,1.875,-0.44,0.7,1.0,2
10.0,8.05,13.3,1.875,-0.44,0.7,1.0,2
10.0,8.05,15.0,1.875,-0.44,0.7,1.0,2
15.0,8.05,15.0,1.875,-0.44,0.7,1.0,1
45.0,8.05,15.0,1.875,-0.44,0.7,1.0,2
70.5,8.05,15.0,1.875,-0.44,0.7,1.0,2
247.0,8.05,15.0,1.875,-0.44,0.7,1.0,2
10.0,8.05,15.0,1.875,-0.44,0.7,1.0,2
15.0,8.05,12.0,1.875,-0.44,0.7,1.0,2
70.5,8.05,12.0,1.875,-0.44,0.7,1.0,2
45.0,8.05,12.0,1.875,-0.44,0.7,1.0,2
247.0,8.05,12.0,1.875,-0.44,0.7,1.0,2
15.0,8.05,12.0,1.875,-0.25,0.7,1.0,2
70.5,8.05,12.0,1.875,-0.25,0.7,1.0,2
45.0,8.05,12.0,1.875,-0.25,0.7,1.0,2
247.0,8.05,12.0,1.875,-0.25,0.7,1.0,2
15.0,8.05,4.3,1.875,-0.25,0.7,1.0,2
70.5,8.05,4.3,1.875,-0.25,0.7,1.0,2
247.0,8.05,4.3,1.875,-0.25,0.7,1.0,2
45.0,8.05,4.3,1.875,-0.25,0.7,1.0,2
247.0,8.05,19.8,1.875,-0.25,0.7,1.0,2
45.0,8.05,19.8,1.875,-0.25,0.7,1.0,2
70.5,8.05,19.8,1.875,-0.25,0.7,1.0,2
15.0,8.05,19.8,1.875,-0.25,0.7,1.0,1
15.0,8.05,13.0,1.875,-0.25,0.7,1.0,2
70.5,8.05,13.0,3.75,-0.25,0.7,0.0,2
45.0,8.05,13.0,3.75,-0.25,0.7,0.0,2
247.0,8.05,13.0,3.75,-0.25,0.7,0.0,2
247.0,8.05,19.8,3.75,-0.25,0.7,0.0,2
45.0,8.05,19.8,3.75,-0.25,0.7,0.0,2
70.5,8.05,19.8,3.75,-0.25,0.7,0.0,2
15.0,8.05,19.8,3.75,-0.25,0.7,0.0,2
54.0,8.05,19.8,1.875,-0.25,0.7,1.0,2
54.0,8.05,19.8,1.875,-0.25,0.7,1.0,2
54.0,8.05,13.0,1.875,-0.25,0.7,1.0,2
54.0,8.05,12.0,1.875,-0.25,0.7,1.0,2
54.0,8.05,4.3,1.875,-0.25,0.7,1.0,2
54.0,8.05,15.0,1.875,-0.25,0.7,1.0,2
10.0,8.05,4.3,1.875,-0.25,0.7,1.0,2
10.0,8.05,12.0,1.875,-0.25,0.7,1.0,2
10.0,8.05,13.0,1.875,-0.25,0.7,1.0,2
10.0,8.05,19.8,1.875,-0.25,0.7,1.0,2
10.0,8.05,19.8,1.875,-0.25,0.7,1.0,2
10.0,8.05,13.4,1.875,0.423,0.7,1.0,2
10.0,8.05,6.5,1.875,0.423,0.7,1.0,1
15.0,8.05,19.8,1.875,0.423,0.7,1.0,2
70.5,8.05,13.0,1.875,0.423,0.7,1.0,2
45.0,8.05,13.0,1.875,0.423,0.7,1.0,3
247.0,8.05,13.0,1.875,0.423,0.7,1.0,2
45.0,8.05,19.8,1.875,0.423,0.7,1.0,2
70.5,8.05,19.8,1.875,0.423,0.7,1.0,2
15.0,8.05,19.8,1.875,0.423,0.7,1.0,2
